Agent,Route#,CID,Dealer Name,City,ST,Zip,ETA,ETD,Fixed Time,Cube,Open,Close,Delivery X-Dock,Special Eq,Lanter ID,Facing PDC,LATITUDE,LONGITUDE,GEORESULT
TOMASEK-BISMARCK,NDBI.BIS.FAR3,DRE,RDO Equipment,BISMARCK,ND,58504,07:12:00,07:27:00,15,128,03:30:00,08:00:00,"BISMARCK, ND",,L804223,MILAN LW,46.7952,-100.7658,MANUAL
TOMASEK-BISMARCK,NDBI.BIS.FAR3,FRD,EIDE F/M INC.,BISMARCK,ND,58504-6504,07:32:00,08:02:00,30,168,06:00:00,10:00:00,"BISMARCK, ND",@600,L000190,MENOMONIE,46.7951,-100.78,Exact
TOMASEK-BISMARCK,NDBI.BIS.FAR3,HUB,WEST FARGO DOCK,WEST FARGO,ND,58078,02:30:00,03:30:00,60,0,02:30:00,02:30:00,"BISMARCK, ND",,,,46.8837,-96.9147,Exact
TOMASEK-BISMARCK,NDBI.BIS.FAR3,TOY,THEEL TOYOTA,BISMARCK,ND,58503-0751,08:14:00,08:34:00,20,224,06:30:00,10:00:00,"BISMARCK, ND",,L800743,KANSAS CITY,46.8335,-100.7284,Exact
TOMASEK-BISMARCK,NDBI.BIS.FAR3,VOL,RDO TRK CTR,BISMARCK,ND,58504-7708,06:57:00,07:07:00,10,112,06:00:00,09:00:00,"BISMARCK, ND",@600,L003130,JOLIET,46.7954,-100.7447,Exact
TOMASEK-BISMARCK,NDBI.BIS1,DRE,GOOSENECK IMPLEMENT COMPANY,WILLISTON,ND,58801-7220,06:05:00,06:20:00,15,224,01:30:00,08:00:00,"BISMARCK, ND",@130,L804264,MILAN LW,48.1939,-103.6261,Exact
TOMASEK-BISMARCK,NDBI.BIS1,DRE,GOOSENECK IMPLEMENT COMPANY,STANLEY,ND,58784-9404,04:27:00,04:34:00,7,224,01:30:00,08:30:00,"BISMARCK, ND",@130,L804258,MILAN LW,48.331,-102.3879,Exact
TOMASEK-BISMARCK,NDBI.BIS1,DRE,RDO Equipment,WILLISTON,ND,58801-8623,07:02:00,07:14:00,12,112,07:00:00,10:00:00,"BISMARCK, ND",@130,L804263,MILAN LW,48.1253,-103.7246,Exact
TOMASEK-BISMARCK,NDBI.BIS1,PAC,ALLSTATE PB OF WILLISTON,Williston,ND,58801,05:40:00,05:53:00,13,224,01:30:00,08:30:00,"BISMARCK, ND",@130,L904018,ROCKFORD,48.2561,-103.6211,Exact
TOMASEK-BISMARCK,NDBI.BIS1,PAC,WALLWORK KENWORTH,Williston,ND,58801,06:37:00,06:56:00,19,336,01:30:00,09:30:00,"BISMARCK, ND",@130,L904019,ROCKFORD,48.1464,-103.7271,Exact
TOMASEK-BISMARCK,NDBI.BIS1,PAC,WALLWORK KENWORTH-MINOT,Minot,ND,58701,03:15:00,03:28:00,13,336,01:30:00,08:00:00,"BISMARCK, ND",@130,L904021,ROCKFORD,48.2113,-101.2587,Exact
TOMASEK-BISMARCK,NDBI.BIS10,CHR,CHARBONNEAU CHRYSLER CENTER,DICKINSON,ND,58601-5027,07:28:00,07:30:00,2,112,06:00:00,13:00:00,"BISMARCK, ND",@600,L902458,MINNEAPOLIS,46.8802,-102.7909,Exact
